name,type,loc,website,open_time,address,number,reviews,star_rating,tour,review_category
Il Fornaio San Jose,Restaurant,"San Jose, CA",https://www.ilfornaio.com/location/il-fornaio-san-jose/,7:00 AM - 9:00 PM,"302 S Market St, San Jose, CA 95113",14082713366,1032,4,No,1000+
Yard House,Restaurant,"San Jose, CA",https://www.yardhouse.com/locations/ca/san-jose/san-jose-santana-row/8330?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:san-jose-ca-8330_pl:locurl_rd:1028,11:00 AM - 12:00 AM,"300 Santana Row Suite 101, San Jose, CA 95128",14082419273,3058,4,No,1000+
Poor House Bistro,Restaurant,"San Jose, CA",http://www.poorhousebistro.com/,5:00 PM - 9:00 PM,"91 Barack Obama Blvd, San Jose, CA 95110",14082925837,1397,4,No,1000+
The Farmers Union,Restaurant,"San Jose, CA",http://www.thefarmersunion.com/,11:30 AM - 9:00 PM,"151 W Santa Clara St, San Jose, CA 95113",14082770545,1603,4,No,1000+
Monument to the Founders of San Jose,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"550 S 1st St, San Jose, CA 95113",No Phone Number Available,2,5,No,1-10
Cesar Chavez Monument,Monuments,"San Jose, CA",http://www.sjsu.edu/news/archive/2898.html,Open 24 Hours,"1 Washington Square, San Jose, CA 95112",No Phone Number Available,2,5,No,1-10
Sons of San Jose Memorial,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"393 W Santa Clara St, San Jose, CA 95110",No Phone Number Available,2,3,No,1-10
Olympic Black Power Statue,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"1 Washington Square, San Jose, CA 95112",No Phone Number Available,97,5,Yes,10-100
Rainbow Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2345/2028?selcat=102npage=6,Open 24 Hours,"Rainbow Drive &, Donington Dr, San Jose, CA 95129",14087935510,329,4,No,100-500
Murdock Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2297/2028?fsiteid=1selcat=102npage=5,Open 24 Hours,"1188 Wunderlich Dr, San Jose, CA 95129",14085353570,334,5,No,100-500
Starbird Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2663/36,7:00 AM - 8:00 PM,"Boynton Ave  Williams road, San Jose, CA 95117",14085353570,289,4,No,100-500
John Mise Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2241/2028?utm_campaign=google_mapsutm_medium=organicutm_source=google,6:00 AM - 8:00 PM,"594 Park Meadow Dr, San Jose, CA 95129",14087935510,558,5,No,500-1000
Anno Domini Gallery,Galleries,"San Jose, CA",http://www.galleryad.com/,12:00 PM - 7:00 PM,"366 S 1st St, San Jose, CA 95113",14082715155,33,5,Yes,10-100
Art Ark Gallery,Galleries,"San Jose, CA",http://www.artarkgallery.com/,6:00 PM - 9:00 PM,"1035 S 6th St, San Jose, CA 95112",No Phone Number Available,11,5,Yes,10-100
Art Object,Galleries,"San Jose, CA",http://www.artobjectgallery.com/,12:00 PM - 2:00 PM,"592 N 5th St, San Jose, CA 95112",14082889305,11,5,No,10-100
Citadel Art Studios,Galleries,"San Jose, CA",https://citadelartstudios.wordpress.com/,9:00 AM - 5:00 PM,"199 Martha St, San Jose, CA 95112",14087530278,16,4,Yes,10-100
Hotel Elan,Hotels,"San Jose, CA",http://www.hotelelansanjose.com/,Open 24 Hours,"1215 S First St, San Jose, CA 95110",14082805300,318,4,No,100-500
Pacific Motor Inn,Hotels,"San Jose, CA",https://www.googleadservices.com/pagead/aclk?sa=Lai=DChcSEwjkzKHGupT2AhUwC60GHevdD6YYABAMGgJwdgae=2ohost=www.google.comcid=CAESWOD2UyLKsKlG6foIVFVrNCi63tpyrKGz27AqdOckr9KKUek388od7G7ImqWwsV_O8-xVfobd27w_95FeuPa__zhYBmrtpof_C-KWa8TaxMXueMPNoVjv2Posig=AOD64_0Ba-WUM98V32Ttoe9NZMFCdewq2gqadurlved=2ahUKEwi79JDGupT2AhX3JEQIHSGYBc4Q0Qx6BAgEEAE,Open 24 Hours,"455 S Second St, San Jose, CA 95113",14082983500,326,4,No,100-500
